timestamp,base_currency,currency,rate
2026-06-09 09:54:29,PLN,SBD,2.157195
2026-06-09 09:54:29,PLN,SCR,3.890642
2026-06-09 09:54:29,PLN,SDG,123.501682
2026-06-09 09:54:29,PLN,SEK,2.565674
2026-06-09 09:54:29,PLN,SGD,0.350328
2026-06-09 09:54:29,PLN,SHP,0.203777
2026-06-09 09:54:29,PLN,SLE,6.734007
2026-06-09 09:54:29,PLN,SLL,6734.006734
2026-06-09 09:54:29,PLN,SOS,155.269969
2026-06-09 09:54:29,PLN,SRD,10.147626
2026-06-09 09:54:29,PLN,SSP,1281.211763
2026-06-09 09:54:29,PLN,STN,5.776483
2026-06-09 09:54:29,PLN,SYP,30.509873
2026-06-09 09:54:29,PLN,SZL,4.489244
2026-06-09 09:54:29,PLN,THB,8.922493
2026-06-09 09:54:29,PLN,TJS,2.527659
2026-06-09 09:54:29,PLN,TMT,0.95068
2026-06-09 09:54:29,PLN,TND,0.795513
2026-06-09 09:54:29,PLN,TOP,0.63753
2026-06-09 09:54:29,PLN,TRY,12.541148
2026-06-09 09:54:29,PLN,TTD,1.839536
2026-06-09 09:54:29,PLN,TVD,0.385162
2026-06-09 09:54:29,PLN,TWD,8.586416
2026-06-09 09:54:29,PLN,TZS,713.851028
2026-06-09 09:54:29,PLN,UAH,12.082924
2026-06-09 09:54:29,PLN,UGX,1023.008173
2026-06-09 09:54:29,PLN,USD,0.271944
2026-06-09 09:54:29,PLN,UYU,10.955596
2026-06-09 09:54:29,PLN,UZS,3241.327174
2026-06-09 09:54:29,PLN,VES,154.378184
2026-06-09 09:54:29,PLN,VND,7159.361007
2026-06-09 09:54:29,PLN,VUV,32.046377
2026-06-09 09:54:29,PLN,WST,0.730707
2026-06-09 09:54:29,PLN,XAF,154.658153
2026-06-09 09:54:29,PLN,XCD,0.734249
2026-06-09 09:54:29,PLN,XCG,0.48678
2026-06-09 09:54:29,PLN,XDR,0.200276
2026-06-09 09:54:29,PLN,XOF,154.658153
2026-06-09 09:54:29,PLN,XPF,28.135483
2026-06-09 09:54:29,PLN,YER,64.786368
2026-06-09 09:54:29,PLN,ZAR,4.489248
2026-06-09 09:54:29,PLN,ZMW,4.799197
2026-06-09 09:54:29,PLN,ZWG,7.289028
2026-06-09 09:54:29,PLN,ZWL,7.289036
